"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"2001",20140049,"TE",77,265,21.8794520547945,4.74,33,28,4.3,116,7.42,2,49
"2003",20140097,"RB",68,173,22.7616438356164,4.26,38,20,4.06,122,6.86,3,97
"2005",20140009,"OLB",77,255,22.1534246575342,4.66,34.5,15,4.19,117,6.82,1,9
"2006",20140156,"OLB",73,237,23.4547945205479,4.64,35,22,4.35,123,7.24,5,156
"2007",20140012,"WR",71,198,21.5178082191781,4.43,38.5,7,3.94,122,6.69,1,12
"2008",20140028,"WR",77,245,23.2684931506849,4.61,32.5,13,4.39,117,7.33,1,28
"2009",20140148,"DB",72,195,22.6931506849315,4.63,40.5,10,4.38,122,6.94,5,148
"2010",20140152,"S",71,195,22.8547945205479,4.71,35.5,15,4.22,116,7.08,5,152
"2011",20140035,"OT",76,305,22.5890410958904,4.97,32,22,4.44,113,7.37,2,35
"2012",20140181,"RB",74,225,23.0465753424658,4.63,32,13,4.5,121,7.15,6,181
"2013",20140111,"C",75,308,21.8684931506849,5.18,29,42,4.66,109,8.26,4,111
"2015",20140077,"LB",72,245,23.1150684931507,4.83,31,27,4.27,113,7.18,3,77
"2016",20140128,"S",73,205,21.8821917808219,4.59,35,18,4.31,115,7.04,4,128
"2017",20140121,"OLB",73,248,21.7424657534247,4.76,37.5,23,4.3,122,7.25,4,121
"2018",20140102,"DB",71,195,22.2849315068493,4.62,34.5,11,4.33,123,7.04,4,102
"2019",20140064,"OT",78,315,22.958904109589,5.19,23,23,4.69,99,8.14,2,64
"2020",20140074,"DT",75,314,21.958904109589,5.06,33.5,26,4.78,104,7.92,3,74
"2022",20140073,"LB",73,251,21.5424657534247,4.86,33,23,4.26,115,6.98,3,73
"2023",20140118,"WR",76,211,22.3972602739726,4.42,39,16,4.15,123,7.18,4,118
"2024",20140027,"S",73,211,21.7013698630137,4.49,36.5,19,4.26,124,6.96,1,27
"2027",20140218,"WR",69,191,23.2986301369863,4.46,39,20,4.01,122,6.77,7,218
"2028",20140117,"RB",70,215,21.5342465753425,4.7,32.5,19,4.38,114,7.08,4,117
"2029",20140165,"DT",73,333,23.2109589041096,5.47,26,32,4.6,87,7.89,5,165
"2030",20140088,"DE",78,275,23.027397260274,4.77,32,22,4.57,111,7.26,3,88
"2031",20140021,"S",73,208,21.3917808219178,4.58,33,11,4.16,117,7.16,1,21
"2032",20140001,"DE",77,270,21.241095890411,4.53,37.5,21,4.43,123,7.27,1,1
"2033",20140109,"DB",72,191,22.7698630136986,4.56,36.5,10,4.32,122,7.28,4,109
"2034",20140020,"WR",70,189,20.6301369863014,4.33,36,16,3.81,120,6.76,1,20
"2037",20140072,"DE",75,273,22.5369863013699,4.84,31.5,24,4.29,108,7.19,3,72
"2039",20140127,"DB",74,198,23.6794520547945,4.59,35,11,4.3,133,6.86,4,127
"2040",20140248,"S",72,205,22.6876712328767,4.64,32,14,4.5,111,7.55,7,248
"2041",20140195,"DB",71,203,24.0493150684932,4.41,32.5,17,4.27,116,7.15,6,195
"2042",20140013,"DT",73,280,22.9753424657534,4.68,32,35,4.39,115,7.11,1,13
"2043",20140247,"S",75,190,22.4301369863014,4.52,33.5,8,4.24,116,7.04,7,247
"2044",20140137,"OT",76,313,23.0383561643836,5.42,24,23,4.89,100,8.14,4,137
"2045",20140060,"DE",76,275,22.3945205479452,4.92,31,22,4.45,113,6.83,2,60
"2047",20140143,"OG",76,315,23.3013698630137,5.25,27,26,4.82,99,7.95,5,143
"2048",20140106,"WR",69,197,22.7260273972603,4.45,39.5,15,3.95,120,6.69,4,106
"2049",20140107,"DT",74,335,23.3780821917808,5.27,28,25,4.75,91,7.81,4,107
"2050",20140210,"DE",73,261,22.8630136986301,4.78,34,28,4.65,112,7.67,6,210
"2051",20140115,"WR",73,213,23.186301369863,4.51,34.5,13,4.21,122,7.07,4,115
"2052",20140182,"DB",72,219,23.2082191780822,4.59,35,17,4.13,116,7.05,6,182
"2054",20140065,"TE",77,265,22.558904109589,4.76,31.5,25,4.26,115,7.1,3,65
"2055",20140140,"OT",78,320,21.6904109589041,5.28,23.5,26,5,97,8.24,4,140
"2057",20140014,"DB",72,190,22.2383561643836,4.49,38.5,12,4.19,127,6.9,1,14
"2058",20140193,"OG",77,316,22.6383561643836,5.16,24.5,25,5.16,98,7.87,6,193
"2059",20140087,"DB",72,193,23.1095890410959,4.38,36.5,11,4.04,122,6.62,3,87
"2061",20140197,"DB",71,197,24.9232876712329,4.52,37,11,4.34,123,6.8,6,197
"2062",20140142,"WR",72,204,23.4,4.64,35.5,8,4.11,117,6.68,5,142
"2064",20140037,"DT",78,318,23.7643835616438,5.02,35.5,32,4.5,113,7.87,2,37
"2065",20140216,"DB",70,190,21.9534246575342,4.5,35.5,15,4.27,117,7.14,7,216
"2068",20140190,"WR",73,195,22.3041095890411,4.5,36.5,15,4.2,116,7.08,6,190
"2069",20140185,"WR",69,193,21.9452054794521,4.48,35.5,18,4.27,124,6.84,6,185
"2070",20140119,"OLB",72,235,21.9232876712329,4.74,31.5,23,4.45,115,7.15,4,119
"2072",20140122,"S",71,196,22.1013698630137,4.49,35.5,15,4.19,116,7.26,4,122
"2076",20140187,"DB",73,192,22.6575342465753,4.51,38,13,4,127,6.75,6,187
"2077",20140081,"OG",75,335,22.8383561643836,5.34,29,30,4.78,108,8.25,3,81
"2078",20140019,"OT",78,307,21.9424657534247,5.34,29,22,4.56,102,7.42,1,19
"2079",20140236,"WR",75,219,22.8876712328767,4.42,37.5,20,3.98,123,6.64,7,236
"2083",20140129,"DB",74,200,22.4493150684931,4.45,38.5,12,4.24,123,6.82,4,129
"2084",20140173,"OT",77,297,23.3424657534247,5.11,29,26,4.64,111,7.4,5,173
"2085",20140112,"DT",76,322,22.4054794520548,5.35,27.5,25,4.78,100,7.73,4,112
"2088",20140041,"DB",68,190,23.4602739726027,4.55,37.5,14,4.4,123,7.26,2,41
"2089",20140174,"OLB",76,256,22.8876712328767,4.7,30,23,4.32,112,7.25,5,174
"2091",20140044,"OT",79,322,20.8109589041096,5.59,27.5,21,4.84,96,7.71,2,44
"2093",20140034,"DE",75,265,22.041095890411,4.8,34.5,20,4.31,112,7.46,2,34
"2094",20140133,"DB",69,192,23.0575342465753,4.48,33,16,4.4,120,7.12,4,133
"2095",20140246,"OT",75,305,22.5945205479452,5.21,29,21,4.4,108,7.57,7,246
"2096",20140011,"OT",79,309,22.8109589041096,4.87,30.5,29,4.49,116,7.39,1,11
"2100",20140155,"TE",77,258,23.9068493150685,4.82,29.5,28,4.35,115,7.38,5,155
"2101",20140005,"OLB",75,250,23.2219178082192,4.65,40,23,4.18,127,7.08,1,5
"2103",20140108,"DE",76,245,21.8493150684932,4.89,32,14,4.25,108,7.08,4,108
"2104",20140084,"DE",78,272,22.2301369863014,4.72,35.5,22,4.33,128,7.2,3,84
"2105",20140016,"OT",76,315,23.4794520547945,5.22,28,29,4.59,104,7.65,1,16
"2106",20140006,"OT",77,309,22.2520547945205,5.07,30.5,24,4.47,104,7.34,1,6
"2107",20140042,"WR",75,212,21.8246575342466,4.46,35.5,21,4.18,120,6.95,2,42
"2109",20140096,"RB",69,205,22.027397260274,4.41,40.5,32,4.12,132,6.83,3,96
"2110",20140059,"OT",78,305,22.6191780821918,5.37,26,28,4.64,100,7.79,2,59
"2111",20140090,"WR",74,216,20.7671232876712,4.4,39.5,13,4.3,132,7.02,3,90
"2112",20140198,"DE",78,275,23.6876712328767,4.84,33.5,23,4.46,123,7.41,6,198
"2115",20140047,"OLB",78,259,23.3917808219178,4.86,35.5,19,4.2,116,6.78,2,47
"2117",20140166,"DE",75,236,23.3068493150685,4.73,34,21,4.63,116,7.31,5,166
"2118",20140052,"TE",78,270,21.6493150684932,4.84,32,27,4.55,113,7.57,2,52
"2119",20140123,"WR",74,212,24.6383561643836,4.48,33,8,4.32,121,6.68,4,123
"2120",20140040,"OLB",75,243,23.9013698630137,4.71,32.5,21,4.2,111,7.22,2,40
"2122",20140207,"C",75,300,24.586301369863,5.34,26,23,4.46,102,7.6,6,207
"2125",20140132,"OLB",72,230,22.6,4.51,39,28,4.02,127,6.92,4,132
"2126",20140196,"WR",72,189,22.4712328767123,4.63,31.5,10,4.23,120,6.7,6,196
"2127",20140158,"DT",74,298,22.4712328767123,4.91,26.5,20,4.58,104,7.59,5,158
"2129",20140153,"OG",77,329,23.3780821917808,5.36,25.5,25,4.83,90,7.7,5,153
"2130",20140043,"C",76,300,22.8465753424658,5.1,25.5,25,4.63,104,7.93,2,43
"2132",20140002,"OT",77,332,21.558904109589,4.92,28.5,32,4.86,112,7.8,1,2
"2133",20140098,"TE",76,257,22.3068493150685,4.87,31.5,16,4.47,115,7.23,3,98
"2134",20140249,"DE",74,260,24.3479452054795,4.91,25.5,17,4.7,113,7.8,7,249
"2135",20140054,"RB",70,213,21.6575342465753,4.49,35.5,26,4,125,6.75,2,54
"2136",20140015,"OLB",73,230,21.6821917808219,4.58,42,25,4.21,128,6.91,1,15
"2137",20140139,"OLB",74,254,22.386301369863,4.71,38.5,26,4.31,122,7.29,4,139
"2138",20140069,"RB",72,211,23.6493150684932,4.48,37.5,17,4.3,125,7.16,3,69
"2139",20140159,"DE",73,266,22.2520547945205,4.71,37,28,4.46,121,7.55,5,159
"2141",20140026,"DE",75,258,22.1178082191781,4.68,35,23,4.47,121,7.48,1,26
"2144",20140255,"OLB",77,250,23.2986301369863,4.95,32,24,4.15,115,6.64,7,255
"2147",20140033,"OG",76,310,23.3643835616438,5.04,25,25,4.44,101,7.6,2,33
"2148",20140082,"DT",73,290,22.6109589041096,5.36,28.5,24,4.82,99,7.93,3,82
"2149",20140076,"C",77,304,23.2849315068493,5.28,26,20,4.65,93,7.73,3,76
"2150",20140138,"RB",72,232,22.3890410958904,4.58,33,18,4.22,116,6.88,4,138
"2151",20140100,"OT",75,317,23.2328767123288,5.09,29,35,4.83,98,8.13,3,100
"2152",20140085,"DT",75,315,24.4767123287671,5.03,29,28,4.76,111,7.83,3,85
"2153",20140171,"OLB",75,234,23.1123287671233,4.67,37.5,22,3.96,120,6.89,5,171
"2154",20140067,"OT",77,310,22.572602739726,5.16,28,25,4.71,108,7.92,3,67
"2155",20140175,"OG",75,300,22.8876712328767,5.31,29,30,4.47,101,7.55,5,175
"2156",20140131,"S",71,202,21.7369863013699,4.47,34,25,4.07,116,6.9,4,131
"2158",20140004,"WR",73,211,20.9123287671233,4.43,34,16,4.34,125,6.95,1,4
"2159",20140136,"DE",78,275,24.2438356164384,4.58,36.5,17,4.44,123,7.29,4,136
"2161",20140252,"DB",72,185,22.3342465753425,4.63,36,15,4.27,121,6.98,7,252
"2162",20140130,"RB",70,205,22.2739726027397,4.57,32,23,4.2,113,7.05,4,130
"2165",20140151,"LB",73,246,22.1780821917808,4.66,30.5,25,4.07,120,7.11,5,151
"2167",20140145,"OG",78,315,22.3178082191781,5.48,28.5,22,4.86,102,7.81,5,145
"2168",20150054,"RB",69,203,21.8931506849315,4.6,42.5,24,3.95,130,6.79,2,54
"2169",20150149,"RB",72,223,21.8876712328767,4.57,39,19,4.1,121,7.1,5,149
"2170",20150124,"OLB",73,227,20.7534246575342,4.55,36,24,4.2,121,7.14,4,124
"2171",20150238,"WR",68,177,23.1917808219178,4.43,34,13,4.07,121,6.64,7,238
"2172",20150125,"RB",72,222,23.6904109589041,4.53,35.5,11,4.28,121,6.96,4,125
"2173",20150031,"LB",75,245,22.7698630136986,4.56,37,23,4.03,122,7.07,1,31
"2174",20150017,"DE",79,292,21.4684931506849,5.1,34,24,4.53,117,7.57,1,17
"2175",20150008,"DE",75,246,22.8246575342466,4.53,41,35,4.15,130,6.91,1,8
"2176",20150117,"TE",78,252,23.7452054794521,4.8,33,14,4.32,116,6.85,4,117
"2177",20150162,"WR",73,188,23.1917808219178,4.42,41.5,7,4.15,129,6.66,5,162
"2178",20150100,"DT",76,318,22.4712328767123,5.02,31,20,4.57,101,7.5,4,100
