"","playerId","nameFull","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"62",20000130,"Anthony Malbrough","DB",70,185,23.3643835616438,4.49,35.5,20,4,117,6.73,5,130
"63",20000083,"Damion McIntosh","OT",76,320,23.0739726027397,5.35,26,23,4.71,97,7.72,3,83
"64",20000120,"Alvin McKinley","DT",75,294,21.8657534246575,5.1,27.5,22,4.61,102,7.73,4,120
"65",20000060,"Brad Meester","OG",75,292,23.0794520547945,5.13,34,25,4.43,110,7.46,2,60
"66",20000241,"Rob Meier","DE",77,315,22.6438356164384,5,30.5,27,4.52,113,7.49,7,241
"67",20000148,"Richard Mercier","OG",75,300,24.9424657534247,5.4,26,18,4.78,97,7.84,5,148
"69",20000129,"Mookie Moore","OG",74,318,23.4684931506849,5.47,24.5,34,5.06,94,8.37,4,129
"70",20000028,"Rob Morris","LB",74,243,25.2575342465753,4.77,33,18,4.17,113,6.93,1,28
"71",20000156,"Sammy Morris","RB",72,220,23.0794520547945,4.68,37.5,23,4.21,117,7.05,5,156
"72",20000104,"Kaulana Noa","OT",75,315,23.3095890410959,5.38,25.5,27,4.74,98,7.82,4,104
"75",20000236,"Erik Olson","DB",73,208,23.2931506849315,4.63,35,17,4.21,115,6.81,7,236
"76",20000251,"DaShon Polk","LB",74,242,23.1068493150685,4.77,32,18,4.45,111,7.43,7,251
"77",20000077,"Hank Poteat","DB",70,195,22.6383561643836,4.62,37,16,4,126,6.66,3,77
"78",20000063,"Travis Prentice","RB",71,221,23.3671232876712,4.5,37,23,4.4,115,6.92,3,63
"79",20000181,"Quinton Reese","DE",76,283,22.6520547945205,5.13,30,18,4.68,101,7.91,6,181
"80",20000131,"Tutan Reyes","OG",75,310,22.4794520547945,5.38,26.5,20,4.88,99,7.49,5,131
"81",20000055,"Fred Robbins","DT",76,322,23.0712328767123,5.13,29.5,25,4.72,94,7.72,2,55
"82",20000127,"Greg Robinson-Randall","OT",77,322,21.827397260274,5.62,26,22,5.13,95,8.15,4,127
"83",20000215,"Sekou Sanyika","LB",75,246,22.0958904109589,4.75,32.5,21,4.38,111,7.33,7,215
"84",20000179,"Tony Scott","DB",71,193,23.5479452054795,4.55,34,11,4.24,116,7.45,6,179
"85",20000218,"Richard Seals","DE",74,316,24.0931506849315,5.15,28.5,24,4.6,102,7.78,7,218
"86",20000237,"Wes Shivers","OG",77,321,23.1205479452055,5.68,22.5,18,4.81,98,8.48,7,237
"87",20000067,"Mark Simoneau","LB",72,245,23.2602739726027,4.63,36,24,4.09,117,7.08,3,67
"88",20000128,"Peter Sirmon","LB",74,237,23.1698630136986,4.86,34.5,20,4.27,115,7.21,4,128
"89",20000092,"T.J. Slaughter","LB",72,233,23.1643835616438,4.91,30,24,4.26,112,7.08,3,92
"90",20000038,"Marvel Smith","OT",77,321,21.7068493150685,5.34,27.5,24,4.84,100,7.87,2,38
"91",20000132,"Paul Smith","FB",71,242,22.2191780821918,4.65,26.5,25,4.29,111,7.02,5,132
"92",20000096,"Terrelle Smith","FB",72,246,22.1095890410959,5.01,32.5,19,4.85,109,8.38,4,96
"93",20000141,"Dave Stachelski","TE",75,245,23.1397260273973,4.85,38,24,4.14,115,6.84,5,141
"94",20000243,"Shyrone Stith","RB",68,205,22.0520547945205,4.65,35,13,4.14,111,7.14,7,243
"95",20000224,"Mark Tauscher","OT",75,320,22.8438356164384,5.43,27,22,4.84,90,7.91,7,224
"96",20000100,"Michael Thompson","OT",76,295,23.1890410958904,5.3,26,16,4.73,104,7.99,4,100
"97",20000058,"Travares Tillman","S",73,205,22.5342465753425,4.6,37.5,15,4.29,123,6.95,2,58
"98",20000136,"Mao Tosi","DT",78,341,23.3561643835616,5.29,28.5,19,4.6,99,7.72,5,136
"99",20000086,"Jeff Ulbrich","LB",72,240,23.172602739726,4.7,32,24,4.3,109,7.23,3,86
"100",20000009,"Brian Urlacher","LB",76,258,21.9068493150685,4.61,34,27,4.18,122,6.94,1,9
"101",20000211,"Darrick Vaughn","DB",71,193,21.5506849315069,4.55,36.5,14,4.16,121,7.09,7,211
"102",20000053,"Todd Wade","OT",80,303,23.4739726027397,5.25,27.5,29,4.68,101,7.68,2,53
"103",20000074,"Steve Warren","DT",73,302,22.2438356164384,5.14,30.5,29,4.56,105,7.97,3,74
